date,strategy,category,scheme_code,scheme_name,prediction_score,quintile,target_weight,opening_drifted_weight,closing_weight,nav_start,nav_end,fund_return,data_quality_flag
2024-07-31,HistGBM,Unknown,140228,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151036,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,127042,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148733,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120425,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148550,Unknown,0,5,0.009009009009009009,0.0,0.00907415210631873,1,1.007230883801379,0.007230883801378988,OK
2024-07-31,HistGBM,Unknown,118508,Unknown,0,5,0.009009009009009009,0.0,0.009009009009009009,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146191,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151190,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147951,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147883,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147003,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146980,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,145810,Unknown,0,5,0.003861003861003861,0.0,0.003861003861003861,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146457,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,135120,Unknown,0,5,0.005405405405405406,0.0,0.005480165832219479,1,1.0138306789606035,0.013830678960603597,OK
2024-07-31,HistGBM,Unknown,140444,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,131373,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149679,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119251,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133630,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146349,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133568,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146721,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147826,Unknown,0,5,0.0045045045045045045,0.0,0.00462850130624217,1,1.0275272899857617,0.027527289985761667,OK
2024-07-31,HistGBM,Unknown,149830,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148760,Unknown,0,5,0.002702702702702703,0.0,0.002722957672456253,1,1.0074943388088136,0.0074943388088134725,OK
2024-07-31,HistGBM,Unknown,149098,Unknown,0,5,0.002702702702702703,0.0,0.0027917668558237953,1,1.0329537366548043,0.03295373665480421,OK
2024-07-31,HistGBM,Unknown,118551,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,132009,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149910,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149961,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150751,Unknown,0,5,0.002702702702702703,0.0,0.0027147617235757297,1,1.00446183772302,0.004461837723019795,OK
2024-07-31,HistGBM,Unknown,120043,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148662,Unknown,0,5,0.002702702702702703,0.0,0.002702702702702703,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120494,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119242,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119723,Unknown,0,5,0.0033783783783783786,0.0,0.00340581839146089,1,1.0081222438724233,0.008122243872423388,OK
2024-07-31,HistGBM,Unknown,118803,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151078,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,145819,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133386,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147541,Unknown,0,5,0.0033783783783783786,0.0,0.0033783783783783786,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118419,Unknown,0,5,0.0045045045045045045,0.0,0.004650279059202161,1,1.0323619511428797,0.032361951142879694,OK
2024-07-31,HistGBM,Unknown,147704,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133710,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119218,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,146772,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120357,Unknown,0,5,0.0045045045045045045,0.0,0.0045045045045045045,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119424,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119746,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118719,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147567,Unknown,0,5,0.005405405405405406,0.0,0.005437554909187584,1,1.005947658199703,0.005947658199703206,OK
2024-07-31,HistGBM,Unknown,119511,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118777,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147919,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118778,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,147946,Unknown,0,5,0.005405405405405406,0.0,0.005753137424304918,1,1.0643304234964097,0.06433042349640981,OK
2024-07-31,HistGBM,Unknown,150915,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120444,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,123693,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148628,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120256,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,128629,Unknown,0,5,0.005405405405405406,0.0,0.005405405405405406,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120728,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151853,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118979,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120731,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,133801,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118267,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,120405,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119364,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118763,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119247,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,150716,Unknown,0,5,0.001001001001001001,0.0,0.0009967573048582346,1,0.9957605475533763,-0.00423945244662368,OK
2024-07-31,HistGBM,Unknown,150685,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,151757,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,148564,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,119243,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118539,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,118762,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
2024-07-31,HistGBM,Unknown,149318,Unknown,0,5,0.001001001001001001,0.0,0.001001001001001001,1,1.0,0.0,Missing
