scheme_code,scheme_name,isin_growth,original_scheme_name,normalized_underlying_name,normalization_rule_version,is_direct,is_regular,is_growth,is_idcw,plan_classification,manual_classification,reviewer_reason,audit_timestamp
119081,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,INF179K01WI9,HDFC Medium Term Debt Fund - Growth Option - Direct Plan,medium term debt fund,1.0,True,False,True,False,Direct Growth,,,
145009,UTI - Fixed Term Income Fund Series XXX-V (1135 Days) - Direct Plan - Growth Option,INF789F1AAV3,UTI - Fixed Term Income Fund Series XXX-V (1135 Days) - Direct Plan - Growth Option,fixed term income fund series xxx v 1135 days,1.0,True,False,True,False,Direct Growth,,,
154307,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,INF22M001176,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,jioblackrock large cap fund,1.0,True,False,True,False,Direct Growth,,,
153654,Union Low Duration Fund - Direct Plan - Growth Option,INF582M01LQ6,Union Low Duration Fund - Direct Plan - Growth Option,union low duration fund,1.0,True,False,True,False,Direct Growth,,,
136135,Kotak FMP Series 186 - Direct Growth,INF174KA1DW0,Kotak FMP Series 186 - Direct Growth,fmp series 186,1.0,True,False,True,False,Direct Growth,,,
136039,Aditya Birla Sun Life Fixed Term Plan - Series NE (1100 days) - Direct Plan-Growth,INF209KA14Q6,Aditya Birla Sun Life Fixed Term Plan - Series NE (1100 days) - Direct Plan-Growth,fixed term series ne 1100 days,1.0,True,False,True,False,Direct Growth,,,
124501,JM Fixed Maturity Fund - Series XXIV - Plan A (JM FMF - XXIV - A) - (Direct) Growth Option,INF192K01FQ0,JM Fixed Maturity Fund - Series XXIV - Plan A (JM FMF - XXIV - A) - (Direct) Growth Option,jm fixed maturity fund series xxiv a jm fmf xxiv a,1.0,True,False,True,False,Direct Growth,,,
140788,Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 days) - Direct Plan-Growth,INF209KB1DC0,Aditya Birla Sun Life Fixed Term Plan - Series OE (1153 days) - Direct Plan-Growth,fixed term series oe 1153 days,1.0,True,False,True,False,Direct Growth,,,
142868,SBI DEBT FUND SERIES C - 11 (91 DAYS) - DIRECT PLAN - GROWTH,INF200KA1SY2,SBI DEBT FUND SERIES C - 11 (91 DAYS) - DIRECT PLAN - GROWTH,debt fund series c 11 91 days,1.0,True,False,True,False,Direct Growth,,,
133856,SBI DEBT FUND SERIES B - 7 (38 MONTHS) - DIRECT PLAN - GROWTH,INF200KA1457,SBI DEBT FUND SERIES B - 7 (38 MONTHS) - DIRECT PLAN - GROWTH,debt fund series b 7 38 months,1.0,True,False,True,False,Direct Growth,,,
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01E54,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,mid cap fund,1.0,True,False,True,False,Direct Growth,,,
128642,Aditya Birla Sun Life Fixed Term Plan - Series KT (1119 days) - Direct Plan-Growth,INF209KA1N10,Aditya Birla Sun Life Fixed Term Plan - Series KT (1119 days) - Direct Plan-Growth,fixed term series kt 1119 days,1.0,True,False,True,False,Direct Growth,,,
119899,Tata Fixed Income Portfolio Fund - Scheme A3 - Direct Plan - Growth,INF277K01NN0,Tata Fixed Income Portfolio Fund - Scheme A3 - Direct Plan - Growth,fixed income portfolio fund scheme a3,1.0,True,False,True,False,Direct Growth,,,
151130,HSBC Small Cap Fund - Direct Growth,INF917K01QA1,HSBC Small Cap Fund - Direct Growth,hsbc small cap fund,1.0,True,False,True,False,Direct Growth,,,
123609,Aditya Birla Sun Life Interval Income Fund - Annual Plan X-Direct Plan-Growth,INF209K01X49,Aditya Birla Sun Life Interval Income Fund - Annual Plan X-Direct Plan-Growth,interval income fund annual x,1.0,True,False,True,False,Direct Growth,,,
144063,Kotak FMP Series 233 - Direct Plan - Growth Option,INF174KA1061,Kotak FMP Series 233 - Direct Plan - Growth Option,fmp series 233,1.0,True,False,True,False,Direct Growth,,,
139524,Axis Hybrid Fund Series - 31 (1381) Direct Growth,INF846K01XT8,Axis Hybrid Fund Series - 31 (1381) Direct Growth,hybrid fund series 31 1381,1.0,True,False,True,False,Direct Growth,,,
143994,Kotak FMP Series 232-Direct Plan-Growth Option,INF174KA1020,Kotak FMP Series 232-Direct Plan-Growth Option,fmp series 232,1.0,True,False,True,False,Direct Growth,,,
119410,Baroda Treasury Advantage Fund - Plan B (Direct) - Growth Option,INF955L01BF0,Baroda Treasury Advantage Fund - Plan B (Direct) - Growth Option,baroda treasury advantage fund b,1.0,True,False,True,False,Direct Growth,,,
144934,Nippon India Fixed Horizon Fund XXXIX- Series 6- Direct Plan- Growth Option,INF204KB1J64,Nippon India Fixed Horizon Fund XXXIX- Series 6- Direct Plan- Growth Option,fixed horizon fund xxxix series 6,1.0,True,False,True,False,Direct Growth,,,
143160,HDFC FMP 1183D April 2018 (1) - Growth Option - Direct Plan,INF179KB10C7,HDFC FMP 1183D April 2018 (1) - Growth Option - Direct Plan,fmp 1183d april 2018 1,1.0,True,False,True,False,Direct Growth,,,
147989,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INF090I01UD7,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,india low duration fund segregated portfolio 1 8 25% vodafone idea ltd 10jul20,1.0,True,False,True,False,Direct Growth,,,
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,INF582M01765,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,union elss tax saver fund,1.0,True,False,True,False,Direct Growth,,,
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,INF209K01YZ4,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,india reforms fund,1.0,True,False,True,False,Direct Growth,,,
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,INF174V01721,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,mahindra manulife large cap fund,1.0,True,False,True,False,Direct Growth,,,
