normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
multi asset active fof,,,ambiguous,"[148903, 153960, 154316]","[153963, 154319]"
multi asset allocation fund,,,ambiguous,"[120160, 120524, 119843, 120760, 148053, 148457, 151307, 152056, 152064, 152324, 152344, 152314, 153246]","[113064, 103408, 111599, 148050, 148459, 151309, 152053, 152065, 152326, 152347, 152311, 153248]"
multi asset fund,,,ambiguous,"[119131, 120334, 119572, 148454]",[148455]
multi asset omni fof,,,ambiguous,"[119777, 131865, 148666]","[102574, 131864, 148663]"
multi asset passive fof,,,ambiguous,"[118489, 150688]","[112329, 150690]"
multi cap fund,,,ambiguous,"[118651, 118650, 131164, 148921, 149303, 149368, 150659, 152651, 153515]","[148918, 149305, 150661, 152650, 153516]"
multi factor fund,,,ambiguous,"[153669, 153722]","[153667, 153721]"
multi factor passive fof,,,ambiguous,"[149847, 153816, 154275]","[149844, 153818, 154276]"
multicap fund,,,ambiguous,"[120599, 149185, 149383, 149882, 151232, 151810, 152310]","[149182, 149382, 149886, 151235, 151812, 152307]"
navi liquid fund,,,ambiguous,[119164],"[112636, 112644]"
navi ultra short term fund,,,ambiguous,[119186],"[112408, 112656]"
nifty 100 equal weight index fund,,,ambiguous,"[149870, 153146]",[153145]
nifty 100 index fund,,,ambiguous,"[147666, 149832, 149868]","[147665, 149833]"
nifty 200 momentum 30 index fund,,,ambiguous,"[148703, 150452, 151781]","[148704, 151783]"
nifty 200 quality 30 index fund,,,ambiguous,"[152859, 153114, 153660]","[152858, 153113, 153659]"
nifty 50 equal weight index fund,,,ambiguous,"[141877, 148962, 153150]","[141875, 148965, 153148]"
nifty 50 index fund,,,ambiguous,"[119648, 118482, 120307, 120716, 146376, 147794, 148978, 149373, 152972]","[101314, 112877, 101201, 100822, 146379, 147795, 148974, 149371, 152974]"
nifty 500 index fund,,,ambiguous,"[152731, 152908, 153161, 154088]","[152730, 152906, 154090]"
nifty 500 momentum 50 index fund,,,ambiguous,"[152875, 152881, 153003]","[152876, 152883, 153002]"
nifty 500 value 50 index fund,,,ambiguous,"[151739, 152990]","[151738, 152991]"
nifty alpha 50 index fund,,,ambiguous,"[152177, 153781]","[152179, 153784]"
nifty alpha low volatility 30 index fund,,,ambiguous,"[150487, 153213, 153086, 154388]","[150490, 153212, 153087, 154389]"
nifty auto index fund,,,ambiguous,"[150643, 152557, 153064, 154427]","[152560, 153066]"
nifty bank index fund,,,ambiguous,"[149858, 152389, 152629, 152654, 152793, 153250]","[152387, 152632, 152653, 152792, 153253]"
nifty g sec dec 2026 index fund,,,ambiguous,"[150845, 151301]",[151306]
nifty india consumption index fund,,,ambiguous,"[153015, 154179]","[153012, 154180]"
nifty india defence index fund,,,ambiguous,"[152712, 152798, 154326]","[152711, 152800, 154327]"
nifty india manufacturing index fund,,,ambiguous,"[153270, 153806]",[153271]
nifty india tourism index fund,,,ambiguous,"[152742, 152870]","[152746, 152872]"
nifty it index fund,,,ambiguous,"[150468, 151785, 152041, 152392, 153320, 153590]","[151787, 152043, 152391, 153323, 153588]"
nifty largemidcap 250 index fund,,,ambiguous,"[152482, 152889, 152976]",[152978]
nifty midcap 150 index fund,,,ambiguous,"[148726, 148807, 149389, 150673, 151724, 152855, 153089, 153401, 153581, 154014]","[148723, 148805, 150672, 152856, 153088, 153399, 153580, 154012]"
nifty midcap 150 momentum 50 index fund,,,ambiguous,"[150738, 152916]","[150741, 152918]"
nifty midcap 150 quality 50 index fund,,,ambiguous,"[150313, 150428]","[150312, 150427]"
nifty midcap 50 index fund,,,ambiguous,"[149936, 152767]","[149938, 152765]"
nifty midsmall healthcare index fund,,,ambiguous,"[152564, 153023]","[152567, 153022]"
