normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
baroda bnp paribas nifty midcap 150 index fund,153000.0,153001.0,high_confidence_candidate,,
baroda bnp paribas nifty sdl december 2026 index fund,151283.0,151279.0,high_confidence_candidate,,
baroda bnp paribas nifty sdl december 2028 index fund,151574.0,151576.0,high_confidence_candidate,,
baroda bnp paribas nifty200 momentum 30 index fund,152931.0,152930.0,high_confidence_candidate,,
baroda bnp paribas overnight fund,147196.0,147193.0,high_confidence_candidate,,
baroda bnp paribas retirement fund,152628.0,152625.0,high_confidence_candidate,,
baroda bnp paribas short duration fund,119400.0,113036.0,high_confidence_candidate,,
baroda bnp paribas small cap fund,152128.0,152130.0,high_confidence_candidate,,
baroda bnp paribas ultra short duration fund,143508.0,143464.0,high_confidence_candidate,,
baroda bnp paribas value fund,151755.0,151747.0,high_confidence_candidate,,
baroda conservative hybrid fund b,,,rejected,,
baroda dynamic bond fund b,,,rejected,,
baroda elss 96 b,,,rejected,,
baroda fixed maturity series b b,,,rejected,,
baroda hybrid equity fund b,,,rejected,,
baroda income fund b,,,rejected,,
baroda large cap fund b,,,rejected,,
baroda mid cap fund b,,,rejected,,
baroda pioneer equity trigger fund series i b,,,rejected,,
baroda pioneer fixed maturity series a b,,,rejected,,
baroda pioneer fixed maturity series c b,,,rejected,,
baroda pioneer fixed maturity series d b,,,rejected,,
baroda pioneer fixed maturity series e b,,,rejected,,
baroda pioneer fixed maturity series f b,,,rejected,,
baroda pioneer fixed maturity series g b,,,rejected,,
baroda pioneer fixed maturity series h b,,,rejected,,
baroda pioneer fixed maturity series j b,,,rejected,,
baroda pioneer fixed maturity series k b,,,rejected,,
baroda pioneer fixed maturity series l b,,,rejected,,
baroda pioneer fixed maturity series m b,,,rejected,,
baroda pioneer fixed maturity series n b,,,rejected,,
baroda pioneer hybrid fund series 1 b,,,rejected,,
baroda pioneer psu bond fund b,,,rejected,,
baroda treasury advantage fund b,,,rejected,,
baroda treasury advantage fund b segregated portfolio 1,,,rejected,,
benchmark gsec fund,125510.0,125506.0,high_confidence_candidate,,
bharat bond etf fof april 2032,149401.0,149399.0,high_confidence_candidate,,
bharat bond etf fof april 2033,150989.0,150991.0,high_confidence_candidate,,
bharat bond fof april 2023,147851.0,147850.0,high_confidence_candidate,,
bharat bond fof april 2025 pan,,,rejected,,
bharat bond fof april 2030,147857.0,147854.0,high_confidence_candidate,,
bharat bond fof april 2031,148450.0,148452.0,high_confidence_candidate,,
bharat consumption fund,,,rejected,,
birla sun life commodities equities fund global multi commodity,,,rejected,,
birla sun life commodities equities fund global precious metals,,,rejected,,
birla sun life fixed term series gf 539 days,120208.0,120205.0,high_confidence_candidate,,
birla sun life fixed term series gg 368 days,120887.0,120891.0,high_confidence_candidate,,
birla sun life fixed term series gj 367 days,121007.0,121008.0,high_confidence_candidate,,
birla sun life fixed term series gm 367 days,121022.0,121023.0,high_confidence_candidate,,
birla sun life fixed term series go 369 days,121234.0,121237.0,high_confidence_candidate,,
