scheme_code,latest_name,name_prefix
152111,PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan - Annual IDCW option,pgim india money market fund - segregated portfolio 1 - dire
152112,PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan - Monthly IDCW Option,pgim india money market fund - segregated portfolio 1 - dire
152113,PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan - Quarterly IDCW option,pgim india money market fund - segregated portfolio 1 - dire
152114,PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,pgim india money market fund - segregated portfolio 1 - dire
152119,PGIM India Money Market Fund - Segregated Portfolio 1 - Regular Plan - Monthly IDCW option,pgim india money market fund - segregated portfolio 1 - regu
152120,PGIM India Money Market Fund - Segregated Portfolio 1 - Regular Plan - Annual IDCW Option,pgim india money market fund - segregated portfolio 1 - regu
152121,PGIM India Money Market Fund - Segregated Portfolio 1 - Regular Plan - Quarterly IDCW Option,pgim india money market fund - segregated portfolio 1 - regu
152122,PGIM India Money Market Fund - Segregated Portfolio 1 - Regular plan - Growth option,pgim india money market fund - segregated portfolio 1 - regu
152139,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct IDCW Payout,aditya birla sun life us treasury 1-3 year bond etfs fund of
152140,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct Growth,aditya birla sun life us treasury 1-3 year bond etfs fund of
152142,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Regular Growth,aditya birla sun life us treasury 1-3 year bond etfs fund of
152144,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Regular IDCW,aditya birla sun life us treasury 1-3 year bond etfs fund of
152145,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct IDCW,aditya birla sun life us treasury 3-10 year bond etfs fund o
152147,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Regular Growth,aditya birla sun life us treasury 3-10 year bond etfs fund o
152149,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Regular IDCW,aditya birla sun life us treasury 3-10 year bond etfs fund o
152150,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct Growth,aditya birla sun life us treasury 3-10 year bond etfs fund o
152158,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,aditya birla sun life transportation and logistics fund-dire
152159,Aditya Birla Sun Life Transportation and Logistics Fund-Direct IDCW,aditya birla sun life transportation and logistics fund-dire
152160,Aditya Birla Sun Life Transportation and Logistics Fund-Regular IDCW,aditya birla sun life transportation and logistics fund-regu
152161,Aditya Birla Sun Life Transportation and Logistics Fund-Regular Growth,aditya birla sun life transportation and logistics fund-regu
152227,Axis Fixed Term Plan - Series 118 (100 Days) - Direct Plan - Growth,axis fixed term plan - series 118 (100 days) - direct plan -
152228,Axis Fixed Term Plan - Series 118 (100 Days) - Regular Plan - Quarterly IDCW,axis fixed term plan - series 118 (100 days) - regular plan
152229,Axis Fixed Term Plan - Series 118 (100 Days) - Direct Plan - Quarterly IDCW,axis fixed term plan - series 118 (100 days) - direct plan -
152230,Axis Fixed Term Plan - Series 118 (100 Days) - Regular Plan - Growth,axis fixed term plan - series 118 (100 days) - regular plan
152238,Axis US Specific Treasury Dynamic Debt Passive FOF - Regular Plan - IDCW Option,axis us specific treasury dynamic debt passive fof - regular
152239,Axis US Specific Treasury Dynamic Debt Passive FOF - Regular Plan - Growth Option,axis us specific treasury dynamic debt passive fof - regular
152240,Axis US Specific Treasury Dynamic Debt Passive FOF - Direct Plan - Growth Option,axis us specific treasury dynamic debt passive fof - direct
152241,Axis US Specific Treasury Dynamic Debt Passive FOF - Direct Plan - IDCW Option,axis us specific treasury dynamic debt passive fof - direct
