scheme_code,scheme_name,normalized_underlying_name,AMC,plan_classification,classification_confidence,category,category_status,prediction_date,past_start_intended,past_start_actual,prediction_NAV_date,future_end_intended,future_end_actual,past_5y_CAGR,future_5y_CAGR,success_future_ge_12,identity_status,discontinuation_status,successor_scheme_code,window_status,source_file_ids,pred_yr
120490,JM Large Cap Fund (Direct) - Growth Option,jm large cap fund,jm,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.4081,11.8608,False,unverified,active,,complete,AMFI,2021
120603,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,all seasons bond fund,all,Direct Growth,high,Debt,current_category_proxy,2018-03-31,2013-03-31,2013-04-02,2018-03-28,2023-03-31,2023-03-31,11.7148,8.0887,False,unverified,active,,complete,AMFI,2018
120603,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,all seasons bond fund,all,Direct Growth,high,Debt,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-29,2024-03-31,2024-03-31,11.202,8.3569,False,unverified,active,,complete,AMFI,2019
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,large & mid cap fund,large,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.9089,18.9501,True,unverified,active,,complete,AMFI,2019
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,large & mid cap fund,large,Direct Growth,high,Equity,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.06,16.6881,True,unverified,active,,complete,AMFI,2021
120674,UTI Aggressive Hybrid Fund -Direct Plan - Growth,aggressive hybrid fund,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.3465,15.8023,True,unverified,active,,complete,AMFI,2019
120674,UTI Aggressive Hybrid Fund -Direct Plan - Growth,aggressive hybrid fund,aggressive,Direct Growth,high,Hybrid,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,11.7335,13.5293,True,unverified,active,,complete,AMFI,2021
120679,ICICI Prudential Dynamic Asset Allocation Active FOF - Direct Plan - Growth,dynamic asset allocation active fof,dynamic,Direct Growth,high,FoF/International,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-04-02,2023-03-31,2023-03-31,12.4072,12.6876,True,unverified,active,,complete,AMFI,2018
120679,ICICI Prudential Dynamic Asset Allocation Active FOF - Direct Plan - Growth,dynamic asset allocation active fof,dynamic,Direct Growth,high,FoF/International,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,12.0674,14.8619,True,unverified,active,,complete,AMFI,2019
120780,UTI India Consumer Fund - Direct Plan - Growth Option,india consumer fund,india,Direct Growth,high,Other,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-04-01,2024-03-31,2024-03-31,11.2497,15.1302,True,unverified,active,,complete,AMFI,2019
120780,UTI India Consumer Fund - Direct Plan - Growth Option,india consumer fund,india,Direct Growth,high,Other,current_category_proxy,2021-03-31,2016-03-31,2016-03-31,2021-03-31,2026-03-31,2026-03-31,12.0401,10.2425,False,unverified,active,,complete,AMFI,2021
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant mid cap fund,quant,Direct Growth,high,Equity,current_category_proxy,2018-03-31,2013-03-31,2013-04-01,2018-03-31,2023-03-31,2023-03-31,12.5214,19.9805,True,unverified,active,,complete,AMFI,2018
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant mid cap fund,quant,Direct Growth,high,Equity,current_category_proxy,2019-03-31,2014-03-31,2014-03-31,2019-03-31,2024-03-31,2024-03-31,11.3792,31.6638,True,unverified,active,,complete,AMFI,2019
