scheme_code,last_nav_date
107146,2015-11-17
107147,2015-11-17
107148,2015-11-17
107149,2015-11-17
107150,2015-11-17
107151,2015-11-17
107152,2015-11-17
107159,2015-11-17
107160,2015-11-17
107161,2015-11-17
107162,2015-11-17
107163,2015-11-17
107164,2015-11-17
107165,2015-04-16
107166,2015-11-17
107167,2015-11-17
107168,2015-11-17
107169,2015-11-17
107170,2015-11-17
107193,2022-05-11
107194,2013-10-07
107195,2022-05-11
107211,2015-12-09
107212,2015-12-09
107226,2022-05-11
107228,2022-05-11
107233,2015-12-14
107234,2015-12-14
107247,2022-08-07
107248,2022-08-07
107249,2022-08-07
107250,2022-08-07
107251,2022-08-07
107252,2022-08-07
107301,2016-11-24
107302,2016-11-24
107307,2017-12-28
107308,2017-12-28
107309,2017-08-14
107310,2017-08-14
107328,2021-12-31
107329,2021-12-31
107330,2021-12-31
107332,2021-12-31
107337,2013-05-06
107338,2013-05-06
107339,2014-10-09
107341,2014-10-09
107350,2014-04-11
107351,2014-04-11
107354,2017-07-28
107380,2016-03-02
107382,2015-07-24
107405,2015-01-28
107406,2014-03-19
107407,2013-01-21
107408,2015-01-28
107479,2015-12-22
107480,2015-12-22
107481,2015-12-22
107485,2016-01-19
107486,2016-01-19
107504,2018-05-18
107505,2018-05-18
107623,2015-03-26
107624,2015-03-20
107625,2015-03-26
107626,2015-03-20
107631,2016-04-04
107632,2016-04-04
107635,2013-09-06
107636,2013-09-06
107637,2013-09-06
107646,2013-07-30
107647,2013-07-30
107648,2013-07-30
107649,2013-07-30
107656,2013-07-30
107658,2013-07-30
107659,2013-07-30
107695,2019-10-31
107696,2018-10-04
107697,2017-11-16
107698,2019-10-31
107714,2018-03-09
107715,2015-01-28
107717,2015-01-28
107718,2015-01-28
107719,2015-01-14
107720,2015-01-28
107721,2015-01-28
107722,2015-01-28
107773,2018-03-09
107820,2016-03-02
107821,2016-03-02
107822,2016-03-02
107823,2016-03-02
107900,2018-03-28
107901,2018-03-28
108144,2018-04-02
108145,2018-04-02
108168,2015-01-28
108169,2015-01-28
108195,2016-03-02
108196,2014-06-26
108197,2014-06-26
108220,2022-08-11
108225,2013-05-21
108226,2013-05-21
108231,2018-04-02
108232,2018-04-02
108243,2016-03-02
108244,2016-03-02
108253,2013-05-10
108254,2016-11-28
108305,2021-12-24
108320,2020-03-26
108321,2020-03-26
108363,2017-04-27
108372,2016-10-21
108408,2017-11-28
108410,2016-11-04
108411,2017-11-28
108416,2017-11-27
108417,2017-11-27
108438,2017-11-30
108439,2017-11-30
108467,2020-04-24
108500,2017-09-15
108512,2017-09-15
108554,2017-02-17
108607,2017-02-17
108625,2017-02-17
108629,2014-07-30
108643,2017-02-17
108645,2017-02-17
108659,2017-02-17
108660,2017-02-17
108661,2018-05-04
108662,2018-05-04
108663,2018-05-04
108676,2017-02-17
108677,2017-02-17
108678,2017-02-17
108679,2017-02-17
108681,2013-03-06
108697,2016-10-26
108698,2017-02-17
108700,2013-04-02
108714,2017-02-17
108715,2017-02-17
108716,2017-02-17
108717,2017-02-17
108718,2017-02-17
108719,2017-02-17
108720,2017-02-17
108732,2017-02-17
108733,2017-02-17
108734,2017-02-17
108735,2017-02-17
108736,2018-05-11
108737,2018-05-11
108738,2018-05-11
108739,2018-05-11
108740,2018-05-11
108741,2017-02-17
108742,2018-05-11
108752,2017-02-17
108754,2017-02-17
108759,2017-02-17
108778,2017-02-17
108779,2017-02-17
108781,2017-02-17
108784,2017-02-17
108786,2017-02-17
108844,2017-02-17
108846,2017-02-17
108864,2017-03-14
108865,2017-03-14
108993,2017-02-17
108994,2015-01-07
109070,2017-03-31
109071,2017-03-31
109117,2013-08-13
109118,2013-08-13
109129,2016-07-22
109130,2016-07-22
109131,2016-07-22
109132,2013-09-26
109137,2016-03-03
109138,2016-03-03
109175,2016-11-24
109176,2016-11-24
109177,2016-11-24
109179,2016-11-24
109180,2016-11-24
109181,2013-02-11
109182,2016-11-24
109183,2016-11-24
109184,2016-11-24
109213,2015-10-19
109216,2013-10-07
109247,2017-02-17
109256,2013-04-17
109257,2013-01-31
109262,2013-01-13
109265,2013-03-21
109268,2015-01-28
109300,2016-03-02
109301,2016-03-02
109302,2016-03-02
109303,2016-03-02
109346,2013-02-01
109347,2017-01-27
109355,2013-02-01
109356,2017-01-27
109359,2017-01-27
109360,2013-03-13
109361,2017-01-27
109367,2013-02-01
109369,2013-02-01
109464,2022-05-11
109465,2022-05-11
109466,2020-07-22
109467,2014-01-29
109493,2020-03-26
109494,2020-03-26
109514,2017-03-31
109515,2017-03-31
109542,2013-09-26
109543,2015-07-07
109544,2015-07-07
109545,2013-09-26
109574,2015-08-31
109575,2022-08-07
109576,2022-08-07
109619,2014-11-11
109620,2013-11-06
109660,2015-01-28
109661,2015-01-28
109677,2013-10-01
109678,2013-10-01
109679,2017-08-28
109680,2017-08-28
109695,2014-10-09
109696,2014-10-09
109718,2017-07-28
109742,2020-04-24
109744,2020-04-24
109745,2020-04-24
109816,2015-01-28
109818,2015-01-28
109854,2017-09-22
109855,2017-09-22
109916,2017-11-29
109917,2017-11-29
109934,2016-11-25
109935,2016-11-25
109937,2016-11-25
109938,2014-07-10
109939,2016-11-25
109940,2016-11-25
109941,2013-08-22
109942,2016-11-25
109944,2016-11-25
109945,2013-02-26
109946,2016-11-25
109949,2016-11-25
109950,2016-11-25
109951,2016-11-25
109952,2016-11-25
109953,2016-11-25
109954,2016-11-25
109955,2016-11-25
109956,2016-11-25
109957,2016-11-25
109958,2016-11-25
109961,2013-09-26
109962,2013-09-26
109963,2015-08-24
109964,2015-08-24
109981,2016-04-04
109982,2016-04-04
110013,2017-10-06
110014,2017-10-06
110015,2013-05-10
110016,2013-05-10
110022,2013-12-04
110023,2014-03-03
110045,2017-08-14
110046,2017-08-14
110047,2017-08-14
110048,2017-08-14
110071,2016-03-02
110072,2016-03-02
110073,2016-03-02
110074,2015-09-03
110105,2014-10-09
110106,2014-10-09
110145,2013-09-30
110146,2013-09-30
110147,2013-09-30
110148,2013-09-30
110149,2016-11-24
110150,2016-11-24
110151,2016-11-24
110152,2016-10-31
110153,2016-11-24
110154,2015-09-24
110155,2016-11-24
110156,2016-11-24
110157,2016-11-24
110158,2016-11-24
110203,2017-10-23
110204,2017-10-23
110258,2015-12-09
110259,2015-12-09
110260,2015-12-14
110261,2015-12-14
110285,2016-04-11
110286,2016-04-11
110287,2016-04-11
110288,2013-04-25
110345,2017-10-26
110346,2017-10-26
110347,2016-04-18
110348,2017-10-26
110383,2017-08-14
110384,2017-02-08
110438,2022-11-10
110439,2022-11-23
110440,2022-11-01
110457,2015-12-01
110462,2013-11-08
110463,2013-11-08
110468,2022-05-11
110469,2022-05-11
110515,2015-12-11
110555,2017-08-24
110556,2017-02-20
110569,2016-04-04
110570,2016-04-04
110575,2021-09-17
110663,2017-09-04
110664,2017-09-04
110673,2015-07-10
110674,2015-07-09
110703,2016-03-02
110706,2016-03-02
111316,2017-09-13
111317,2017-09-13
111344,2013-07-19
111346,2013-07-19
111352,2013-07-19
111353,2013-07-19
111381,2021-12-31
111382,2021-12-31
111405,2017-09-19
111406,2017-09-19
111435,2018-05-02
111437,2018-05-02
111438,2018-05-02
111439,2013-09-23
111441,2017-05-18
111442,2013-01-29
111443,2018-05-02
111445,2018-05-02
111446,2018-05-02
111467,2018-12-31
111529,2013-06-06
111532,2014-05-23
111543,2020-04-24
111544,2020-04-24
111546,2017-02-14
111547,2013-12-12
111554,2015-07-17
111556,2016-03-02
111557,2013-01-07
111558,2014-05-16
111586,2014-12-17
111677,2016-11-24
111678,2016-11-24
111679,2014-06-26
111680,2017-02-17
111681,2017-02-17
111703,2020-11-03
111706,2014-06-29
111718,2021-01-01
111719,2014-07-14
111723,2016-03-02
111757,2013-11-08
111758,2013-11-08
111759,2016-05-24
111760,2017-10-11
111761,2015-04-27
111778,2019-03-28
111779,2019-03-28
111780,2018-05-30
111781,2015-12-14
111782,2015-12-14
111785,2017-09-08
111793,2020-04-24
111794,2020-04-24
111795,2020-04-24
111804,2019-04-03
111807,2013-05-28
111808,2013-05-28
111810,2014-01-10
111816,2014-07-03
111861,2017-02-17
111862,2017-02-17
111863,2017-02-17
111864,2017-02-17
111865,2017-02-17
111866,2017-02-17
111867,2013-11-08
111868,2013-11-08
111869,2014-02-18
111871,2016-03-02
111872,2016-03-02
111879,2016-07-01
111880,2015-09-03
111882,2018-05-11
111883,2018-05-11
111915,2020-11-03
111917,2016-03-02
111918,2016-03-02
111919,2016-03-02
111920,2016-03-02
111921,2013-09-26
111922,2017-02-17
111923,2017-02-17
111924,2016-05-05
111941,2021-12-31
111942,2021-12-31
111943,2013-09-06
111944,2013-09-06
111945,2013-09-06
111946,2013-09-06
111949,2014-06-26
111950,2014-06-26
111951,2014-06-26
111952,2014-06-26
111953,2014-06-26
111965,2014-06-26
111966,2014-06-26
111972,2020-04-24
111973,2013-01-03
111976,2020-04-24
111977,2020-04-24
111978,2020-04-24
111979,2020-04-24
111980,2020-04-24
111981,2014-07-23
111982,2020-04-24
111983,2014-10-30
111984,2014-05-02
111985,2015-08-03
111986,2014-04-22
111988,2022-09-16
111989,2022-09-16
111990,2022-09-16
111993,2013-07-25
111994,2013-12-23
111996,2018-05-24
111997,2018-05-24
111998,2018-05-24
112000,2013-01-04
112002,2018-05-24
112005,2018-05-24
112015,2018-06-21
112017,2016-03-03
112020,2016-03-03
112025,2022-03-13
112026,2022-03-13
112027,2022-03-13
112028,2016-09-29
112029,2022-03-13
112031,2022-03-13
112032,2022-03-13
112033,2022-03-13
112034,2022-03-13
112035,2022-03-13
112036,2020-03-26
112037,2020-03-26
112053,2016-02-18
112054,2016-02-18
112056,2016-03-03
112058,2016-03-03
112063,2016-09-16
112064,2021-12-31
112065,2013-06-10
112066,2018-05-02
112067,2018-05-02
112068,2017-02-17
112069,2017-02-17
112080,2013-01-21
112081,2018-05-11
112082,2021-02-25
112084,2016-11-24
112091,2014-03-03
112094,2020-04-24
112095,2013-09-27
112100,2019-09-25
112101,2019-09-25
112104,2020-03-26
112105,2020-03-26
112106,2014-09-11
112110,2013-08-20
112111,2013-02-04
112119,2022-09-16
112147,2017-09-14
112148,2017-09-14
112150,2016-05-20
112207,2021-12-31
112221,2016-03-04
112222,2016-03-04
112223,2016-03-02
112224,2016-03-02
112225,2016-03-02
112226,2016-03-02
112227,2016-03-04
112228,2016-03-04
112290,2014-11-17
112291,2016-05-19
112294,2016-07-22
112295,2016-07-22
112304,2021-12-12
112305,2021-12-12
112306,2016-03-02
112311,2013-02-05
112312,2013-02-05
112314,2016-01-29
112343,2022-09-16
112344,2022-09-16
112345,2016-01-29
